model,attempt,score_type,Brute_Force,SQLi,File_Inclusion,XSS
non_weighted_Ensemble,4,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,4,f1score,0.4759299170305189,0.0,0.0,0.3972938689217759
non_weighted_Ensemble,5,accuracy,0.5223284726413996,0.9186966348568558,0.9630555180332298,0.809291409979465
non_weighted_Ensemble,5,precision,0.5,0.5,0.5,0.3321213816249476
non_weighted_Ensemble,5,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,5,f1score,0.4759299170305189,0.0,0.0,0.3991261238551383
non_weighted_Ensemble,6,accuracy,0.5194833948339483,0.9164998749061797,0.9803378662554325,0.8095873592056798
non_weighted_Ensemble,6,precision,0.5,0.5,0.0,0.3309503784693019
non_weighted_Ensemble,6,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,6,f1score,0.4759299170305189,0.0,0.0,0.3982793522267206
non_weighted_Ensemble,7,accuracy,0.5223238414175347,0.9160625,0.9612108151789622,0.8115028824239174
non_weighted_Ensemble,7,precision,0.5,0.5,0.5,0.3263157894736842
non_weighted_Ensemble,7,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,7,f1score,0.4759299170305189,0.0,0.0,0.39490445859872614
non_weighted_Ensemble,8,accuracy,0.5226348373668617,0.916390469639172,0.9608938547486033,0.8090955189623422
non_weighted_Ensemble,8,precision,0.5,0.5,0.5,0.3278344750454355
non_weighted_Ensemble,8,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,8,f1score,0.4759299170305189,0.0,0.0,0.3960145233471249
non_weighted_Ensemble,9,accuracy,0.5224655295029242,0.917266862904741,0.9609572212311939,0.8090724622203236
non_weighted_Ensemble,9,precision,0.5,0.5,0.5,0.3261082366102643
non_weighted_Ensemble,9,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,9,f1score,0.4759299170305189,0.0,0.0,0.39475243334743965
non_weighted_Ensemble,10,accuracy,0.5226909098615129,0.9163357823979991,0.9618456975294079,0.8106953014397521
non_weighted_Ensemble,10,precision,0.5,0.5,0.5,0.3356850571468887
non_weighted_Ensemble,10,recall,0.4540708700006392,0.0,0.0,0.5
non_weighted_Ensemble,10,f1score,0.4759299170305189,0.0,0.0,0.40168847615027437
weighted_Ensemble,1,accuracy,0.5226147173292893,0.9168283371925653,0.9605772141679841,0.8103535825961461
weighted_Ensemble,1,precision,0.5,0.5,0.5,0.33117249154453215
weighted_Ensemble,1,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,1,f1score,0.4759299170305189,0.0,0.0,0.3984401492031197
weighted_Ensemble,2,accuracy,0.5228684598965689,0.9200780340454989,0.95868406049834,0.8076320055273578
weighted_Ensemble,2,precision,0.5,0.5,0.5,0.33443845835060093
weighted_Ensemble,2,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,2,f1score,0.4759299170305189,0.0,0.0,0.4007946362056121
weighted_Ensemble,3,accuracy,0.5221012307269014,0.9180908777321334,0.961909256387784,0.8113460353190235
weighted_Ensemble,3,precision,0.5,0.5,0.5,0.3275568181818182
weighted_Ensemble,3,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,3,f1score,0.4759299170305189,0.0,0.0,0.3958118777892207
weighted_Ensemble,4,accuracy,0.5221856373010916,0.9188620592206487,0.9628641841936464,0.8096776777846022
weighted_Ensemble,4,precision,0.5,0.5,0.5,0.3295916935597025
weighted_Ensemble,4,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,4,f1score,0.4759299170305189,0.0,0.0,0.3972938689217759
weighted_Ensemble,5,accuracy,0.5223284726413996,0.9186966348568558,0.9630555180332298,0.809291409979465
weighted_Ensemble,5,precision,0.5,0.5,0.5,0.3321213816249476
weighted_Ensemble,5,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,5,f1score,0.4759299170305189,0.0,0.0,0.3991261238551383
weighted_Ensemble,6,accuracy,0.5194833948339483,0.9164998749061797,0.9803378662554325,0.8095873592056798
weighted_Ensemble,6,precision,0.5,0.5,0.0,0.3309503784693019
weighted_Ensemble,6,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,6,f1score,0.4759299170305189,0.0,0.0,0.3982793522267206
weighted_Ensemble,7,accuracy,0.5223238414175347,0.9160625,0.9612108151789622,0.8115028824239174
weighted_Ensemble,7,precision,0.5,0.5,0.5,0.3263157894736842
weighted_Ensemble,7,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,7,f1score,0.4759299170305189,0.0,0.0,0.39490445859872614
weighted_Ensemble,8,accuracy,0.5226348373668617,0.916390469639172,0.9608938547486033,0.8090955189623422
weighted_Ensemble,8,precision,0.5,0.5,0.5,0.3278344750454355
weighted_Ensemble,8,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,8,f1score,0.4759299170305189,0.0,0.0,0.3960145233471249
weighted_Ensemble,9,accuracy,0.5224655295029242,0.917266862904741,0.9609572212311939,0.8090724622203236
weighted_Ensemble,9,precision,0.5,0.5,0.5,0.3261082366102643
weighted_Ensemble,9,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,9,f1score,0.4759299170305189,0.0,0.0,0.39475243334743965
weighted_Ensemble,10,accuracy,0.5226909098615129,0.9163357823979991,0.9618456975294079,0.8106953014397521
weighted_Ensemble,10,precision,0.5,0.5,0.5,0.3356850571468887
weighted_Ensemble,10,recall,0.4540708700006392,0.0,0.0,0.5
weighted_Ensemble,10,f1score,0.4759299170305189,0.0,0.0,0.40168847615027437
