model,attempt,score_type,attack_name
payload_LSTM,2,accuracy,XSS,0.7597800803552548
payload_LSTM,2,precision,PW_Injection,0.0
payload_LSTM,2,precision,SQLi,0.16687192118226601
payload_LSTM,2,precision,File_Inclusion,0.0
payload_LSTM,2,precision,XSS,0.47627359005127085
payload_LSTM,2,recall,PW_Injection,0.4895321610578027
payload_LSTM,2,recall,SQLi,0.499809958190802
payload_LSTM,2,recall,File_Inclusion,0.0
payload_LSTM,2,recall,XSS,0.5
payload_LSTM,2,f1score,PW_Injection,0.0
payload_LSTM,2,f1score,SQLi,0.2502070343587517
payload_LSTM,2,f1score,File_Inclusion,0.0
payload_LSTM,2,f1score,XSS,0.4878484831554835
payload_LSTM,3,accuracy,PW_Injection,0.5669720679450277
payload_LSTM,3,accuracy,SQLi,0.5413871103784074
payload_LSTM,3,accuracy,File_Inclusion,0.9785544360481389
payload_LSTM,3,accuracy,XSS,0.7627575127575128
payload_LSTM,3,precision,PW_Injection,0.0
payload_LSTM,3,precision,SQLi,0.17239185750636132
payload_LSTM,3,precision,File_Inclusion,0.0
payload_LSTM,3,precision,XSS,0.47742863465368446
payload_LSTM,3,recall,PW_Injection,0.4895321610578027
payload_LSTM,3,recall,SQLi,0.499809958190802
payload_LSTM,3,recall,File_Inclusion,0.0
payload_LSTM,3,recall,XSS,0.5
payload_LSTM,3,f1score,PW_Injection,0.0
payload_LSTM,3,f1score,SQLi,0.2563610067114335
payload_LSTM,3,f1score,File_Inclusion,0.0
payload_LSTM,3,f1score,XSS,0.48845370160742585
payload_LSTM,4,accuracy,PW_Injection,0.5671330089213301
payload_LSTM,4,accuracy,SQLi,0.5412800061354398
payload_LSTM,4,accuracy,File_Inclusion,0.9785202029036207
payload_LSTM,4,accuracy,XSS,0.7624796238985093
payload_LSTM,4,precision,PW_Injection,0.0
payload_LSTM,4,precision,SQLi,0.16709511568123395
payload_LSTM,4,precision,File_Inclusion,0.0
payload_LSTM,4,precision,XSS,0.4757904045987177
payload_LSTM,4,recall,PW_Injection,0.4895321610578027
payload_LSTM,4,recall,SQLi,0.499809958190802
payload_LSTM,4,recall,File_Inclusion,0.0
payload_LSTM,4,recall,XSS,0.5
payload_LSTM,4,f1score,PW_Injection,0.0
payload_LSTM,4,f1score,SQLi,0.2504578419163431
payload_LSTM,4,f1score,File_Inclusion,0.0
payload_LSTM,4,f1score,XSS,0.48759487934745666
payload_LSTM,5,accuracy,PW_Injection,0.5679275547704615
payload_LSTM,5,accuracy,SQLi,0.5421388238005608
payload_LSTM,5,accuracy,File_Inclusion,0.9795139375262641
payload_LSTM,5,accuracy,XSS,0.7596318643908624
payload_LSTM,5,precision,PW_Injection,0.0
payload_LSTM,5,precision,SQLi,0.16110761485210826
payload_LSTM,5,precision,File_Inclusion,0.0
payload_LSTM,5,precision,XSS,0.4776639790804097
payload_LSTM,5,recall,PW_Injection,0.4895321610578027
payload_LSTM,5,recall,SQLi,0.499809958190802
payload_LSTM,5,recall,File_Inclusion,0.0
payload_LSTM,5,recall,XSS,0.5
payload_LSTM,5,f1score,PW_Injection,0.0
payload_LSTM,5,f1score,SQLi,0.24367090096490465
payload_LSTM,5,f1score,File_Inclusion,0.0
payload_LSTM,5,f1score,XSS,0.48857684163601917
payload_LSTM,6,accuracy,PW_Injection,0.5666849004234283
payload_LSTM,6,accuracy,SQLi,0.5414451588139334
payload_LSTM,6,accuracy,File_Inclusion,0.9791710424980746
payload_LSTM,6,accuracy,XSS,0.7623252738949754
payload_LSTM,6,precision,PW_Injection,0.0
payload_LSTM,6,precision,SQLi,0.15876152832674573
payload_LSTM,6,precision,File_Inclusion,0.0
payload_LSTM,6,precision,XSS,0.4771646577463231
payload_LSTM,6,recall,PW_Injection,0.4895321610578027
payload_LSTM,6,recall,SQLi,0.499809958190802
payload_LSTM,6,recall,File_Inclusion,0.0
payload_LSTM,6,recall,XSS,0.5
payload_LSTM,6,f1score,PW_Injection,0.0
payload_LSTM,6,f1score,SQLi,0.24097791799306603
payload_LSTM,6,f1score,File_Inclusion,0.0
payload_LSTM,6,f1score,XSS,0.4883155095343179
payload_LSTM,7,accuracy,PW_Injection,0.5668916317058835
payload_LSTM,7,accuracy,SQLi,0.5420982837814464
payload_LSTM,7,accuracy,File_Inclusion,0.9795482402381369
payload_LSTM,7,accuracy,XSS,0.7609391173426179
payload_LSTM,7,precision,PW_Injection,0.0
payload_LSTM,7,precision,SQLi,0.15956727518593644
payload_LSTM,7,precision,File_Inclusion,0.0
payload_LSTM,7,precision,XSS,0.47652761137131033
payload_LSTM,7,recall,PW_Injection,0.4895321610578027
payload_LSTM,7,recall,SQLi,0.499809958190802
payload_LSTM,7,recall,File_Inclusion,0.0
payload_LSTM,7,recall,XSS,0.5
payload_LSTM,7,f1score,PW_Injection,0.0
payload_LSTM,7,f1score,SQLi,0.2419049645705181
payload_LSTM,7,f1score,File_Inclusion,0.0
payload_LSTM,7,f1score,XSS,0.4879817076571301
payload_LSTM,8,accuracy,PW_Injection,0.5676163805349244
payload_LSTM,8,accuracy,SQLi,0.5416139058363071
payload_LSTM,8,accuracy,File_Inclusion,0.9786913925822254
payload_LSTM,8,accuracy,XSS,0.7612102075920734
payload_LSTM,8,precision,PW_Injection,0.0
payload_LSTM,8,precision,SQLi,0.16444444444444445
payload_LSTM,8,precision,File_Inclusion,0.0
payload_LSTM,8,precision,XSS,0.4760544815465729
payload_LSTM,8,recall,PW_Injection,0.4895321610578027
payload_LSTM,8,recall,SQLi,0.499809958190802
payload_LSTM,8,recall,File_Inclusion,0.0
payload_LSTM,8,recall,XSS,0.5
payload_LSTM,8,f1score,PW_Injection,0.0
payload_LSTM,8,f1score,SQLi,0.24746835121127506
payload_LSTM,8,f1score,File_Inclusion,0.0
payload_LSTM,8,f1score,XSS,0.48773351339185234
payload_LSTM,9,accuracy,PW_Injection,0.5657107030175552
payload_LSTM,9,accuracy,SQLi,0.5407371948300622
payload_LSTM,9,accuracy,File_Inclusion,0.9797197898423818
payload_LSTM,9,accuracy,XSS,0.7648720505151213
payload_LSTM,9,precision,PW_Injection,0.0
payload_LSTM,9,precision,SQLi,0.17478882391163092
payload_LSTM,9,precision,File_Inclusion,0.0
payload_LSTM,9,precision,XSS,0.47619047619047616
payload_LSTM,9,recall,PW_Injection,0.4895321610578027
payload_LSTM,9,recall,SQLi,0.499809958190802
payload_LSTM,9,recall,File_Inclusion,0.0
payload_LSTM,9,recall,XSS,0.5
payload_LSTM,9,f1score,PW_Injection,0.0
payload_LSTM,9,f1score,SQLi,0.25900193445124403
payload_LSTM,9,f1score,File_Inclusion,0.0
payload_LSTM,9,f1score,XSS,0.4878048780487805
payload_LSTM,10,accuracy,PW_Injection,0.5677200673851712
payload_LSTM,10,accuracy,SQLi,0.5422527092460226
payload_LSTM,10,accuracy,File_Inclusion,0.9794796372167944
payload_LSTM,10,accuracy,XSS,0.7597417840375587
payload_LSTM,10,precision,PW_Injection,0.0
payload_LSTM,10,precision,SQLi,0.1595405232929164
payload_LSTM,10,precision,File_Inclusion,0.0
payload_LSTM,10,precision,XSS,0.477868406742795
payload_LSTM,10,recall,PW_Injection,0.4895321610578027
payload_LSTM,10,recall,SQLi,0.499809958190802
payload_LSTM,10,recall,File_Inclusion,0.0
payload_LSTM,10,recall,XSS,0.5
payload_LSTM,10,f1score,PW_Injection,0.0
payload_LSTM,10,f1score,SQLi,0.2418742217260071
payload_LSTM,10,f1score,File_Inclusion,0.0
payload_LSTM,10,f1score,XSS,0.48868375688149923
DNN,1,accuracy,PW_Injection,0.5308750996144651
DNN,1,accuracy,SQLi,0.9173662448314748
DNN,1,accuracy,File_Inclusion,0.9804409548179046
DNN,1,accuracy,XSS,0.7790873884492339
DNN,1,precision,PW_Injection,0.5
DNN,1,precision,SQLi,0.4986727341676147
DNN,1,precision,File_Inclusion,0.0
DNN,1,precision,XSS,0.4810540069686411
DNN,1,recall,PW_Injection,0.4895321610578027
DNN,1,recall,SQLi,0.499809958190802
DNN,1,recall,File_Inclusion,0.0
DNN,1,recall,XSS,0.5
DNN,1,f1score,PW_Injection,0.4947107131257829
DNN,1,f1score,SQLi,0.4992406985573273
DNN,1,f1score,File_Inclusion,0.0
DNN,1,f1score,XSS,0.4903440621531631
DNN,2,accuracy,PW_Injection,0.5356508859629061
DNN,2,accuracy,SQLi,0.9154595404595405
DNN,2,accuracy,File_Inclusion,0.9545424047235641
DNN,2,accuracy,XSS,0.7781245498631584
DNN,2,precision,PW_Injection,0.5
DNN,2,precision,SQLi,0.5
DNN,2,precision,File_Inclusion,0.4438305709023941
DNN,2,precision,XSS,0.48052369616966023
DNN,2,recall,PW_Injection,0.4895321610578027
DNN,2,recall,SQLi,0.499809958190802
DNN,2,recall,File_Inclusion,0.0
DNN,2,recall,XSS,0.5
DNN,2,f1score,PW_Injection,0.4947107131257829
DNN,2,f1score,SQLi,0.49990496103402393
DNN,2,f1score,File_Inclusion,0.0
DNN,2,f1score,XSS,0.49006841756786584
DNN,3,accuracy,PW_Injection,0.5343826505188812
DNN,3,accuracy,SQLi,0.9183635051611081
DNN,3,accuracy,File_Inclusion,0.9584622628817435
DNN,3,accuracy,XSS,0.7801503904367106
DNN,3,precision,PW_Injection,0.5
DNN,3,precision,SQLi,0.4998077662437524
DNN,3,precision,File_Inclusion,0.472596585804133
DNN,3,precision,XSS,0.4822407366805525
DNN,3,recall,PW_Injection,0.4895321610578027
DNN,3,recall,SQLi,0.499809958190802
DNN,3,recall,File_Inclusion,0.0
DNN,3,recall,XSS,0.5
DNN,3,f1score,PW_Injection,0.4947107131257829
DNN,3,f1score,SQLi,0.499808862214874
DNN,3,f1score,File_Inclusion,0.0
DNN,3,f1score,XSS,0.4909598214285714
DNN,4,accuracy,PW_Injection,0.5120755892430693
DNN,4,accuracy,SQLi,0.9557180442136194
DNN,4,accuracy,File_Inclusion,0.9794796372167944
DNN,4,accuracy,XSS,0.8108390204737054
DNN,4,precision,PW_Injection,0.5
DNN,4,precision,SQLi,0.0
DNN,4,precision,File_Inclusion,0.0
DNN,4,precision,XSS,0.32908885116015846
DNN,4,recall,PW_Injection,0.4895321610578027
DNN,4,recall,SQLi,0.499809958190802
DNN,4,recall,File_Inclusion,0.0
DNN,4,recall,XSS,0.5
DNN,4,f1score,PW_Injection,0.4947107131257829
DNN,4,f1score,SQLi,0.0
DNN,4,f1score,File_Inclusion,0.0
DNN,4,f1score,XSS,0.3969283276450512
DNN,5,accuracy,PW_Injection,0.5123011786245566
DNN,5,accuracy,SQLi,0.9545113295113296
DNN,5,accuracy,File_Inclusion,0.9800974105609868
DNN,5,accuracy,XSS,0.8090678757167622
DNN,5,precision,PW_Injection,0.5
DNN,5,precision,SQLi,0.0
DNN,5,precision,File_Inclusion,0.0
DNN,5,precision,XSS,0.33035340131303254
DNN,5,recall,PW_Injection,0.4895321610578027
DNN,5,recall,SQLi,0.499809958190802
DNN,5,recall,File_Inclusion,0.0
DNN,5,recall,XSS,0.5
DNN,5,f1score,PW_Injection,0.4947107131257829
DNN,5,f1score,SQLi,0.0
DNN,5,f1score,File_Inclusion,0.0
DNN,5,f1score,XSS,0.39784674909580287
DNN,6,accuracy,PW_Injection,0.5120928833044542
DNN,6,accuracy,SQLi,0.9563388949671773
DNN,6,accuracy,File_Inclusion,0.9796168528701013
DNN,6,accuracy,XSS,0.8110596611439737
DNN,6,precision,PW_Injection,0.5
DNN,6,precision,SQLi,0.0
DNN,6,precision,File_Inclusion,0.0
DNN,6,precision,XSS,0.33021674458138545
DNN,6,recall,PW_Injection,0.4895321610578027
DNN,6,recall,SQLi,0.499809958190802
DNN,6,recall,File_Inclusion,0.0
DNN,6,recall,XSS,0.5
DNN,6,f1score,PW_Injection,0.4947107131257829
DNN,6,f1score,SQLi,0.0
DNN,6,f1score,File_Inclusion,0.0
DNN,6,f1score,XSS,0.3977476324545687
DNN,7,accuracy,PW_Injection,0.5122893367807857
DNN,7,accuracy,SQLi,0.9574519066201136
DNN,7,accuracy,File_Inclusion,0.9804409548179046
DNN,7,accuracy,XSS,0.8087760923462451
DNN,7,precision,PW_Injection,0.5
DNN,7,precision,SQLi,0.0
DNN,7,precision,File_Inclusion,0.0
DNN,7,precision,XSS,0.3299874529485571
DNN,7,recall,PW_Injection,0.4895321610578027
DNN,7,recall,SQLi,0.499809958190802
DNN,7,recall,File_Inclusion,0.0
DNN,7,recall,XSS,0.5
DNN,7,f1score,PW_Injection,0.4947107131257829
DNN,7,f1score,SQLi,0.0
DNN,7,f1score,File_Inclusion,0.0
DNN,7,f1score,XSS,0.3975812547241118
DNN,8,accuracy,PW_Injection,0.5120440611036059
DNN,8,accuracy,SQLi,0.9550653873732373
DNN,8,accuracy,File_Inclusion,0.9796168528701013
DNN,8,accuracy,XSS,0.8103646627605212
DNN,8,precision,PW_Injection,0.5
DNN,8,precision,SQLi,0.0
DNN,8,precision,File_Inclusion,0.0
DNN,8,precision,XSS,0.3270316027088036
DNN,8,recall,PW_Injection,0.4895321610578027
DNN,8,recall,SQLi,0.499809958190802
DNN,8,recall,File_Inclusion,0.0
DNN,8,recall,XSS,0.5
DNN,8,f1score,PW_Injection,0.4947107131257829
DNN,8,f1score,SQLi,0.0
DNN,8,f1score,File_Inclusion,0.0
DNN,8,f1score,XSS,0.39542818150801773
DNN,9,accuracy,PW_Injection,0.5119816908992999
DNN,9,accuracy,SQLi,0.9565678328374543
DNN,9,accuracy,File_Inclusion,0.9804409548179046
DNN,9,accuracy,XSS,0.8124966464559746
DNN,9,precision,PW_Injection,0.5
DNN,9,precision,SQLi,0.0
DNN,9,precision,File_Inclusion,0.0
DNN,9,precision,XSS,0.33109171555301187
DNN,9,recall,PW_Injection,0.4895321610578027
DNN,9,recall,SQLi,0.499809958190802
DNN,9,recall,File_Inclusion,0.0
DNN,9,recall,XSS,0.5
DNN,9,f1score,PW_Injection,0.4947107131257829
DNN,9,f1score,SQLi,0.0
DNN,9,f1score,File_Inclusion,0.0
DNN,9,f1score,XSS,0.3983816820177326
DNN,10,accuracy,PW_Injection,0.5122592854469076
DNN,10,accuracy,SQLi,0.9550327779295275
DNN,10,accuracy,File_Inclusion,0.9804065895548545
DNN,10,accuracy,XSS,0.8090322236448997
DNN,10,precision,PW_Injection,0.5
DNN,10,precision,SQLi,0.0
DNN,10,precision,File_Inclusion,0.0
DNN,10,precision,XSS,0.32937561111887137
DNN,10,recall,PW_Injection,0.4895321610578027
